Epoch	AverageEpRet	StdEpRet	MaxEpRet	MinEpRet	AverageTestEpRet	StdTestEpRet	MaxTestEpRet	MinTestEpRet	AverageEpCost	StdEpCost	MaxEpCost	MinEpCost	AverageTestEpCost	StdTestEpCost	MaxTestEpCost	MinTestEpCost	EpLen	TestEpLen	EpGoals	TestEpGoals	CumulativeCost	CostRate	TotalEnvInteracts	AverageQR1Vals	StdQR1Vals	MaxQR1Vals	MinQR1Vals	AverageQR2Vals	StdQR2Vals	MaxQR2Vals	MinQR2Vals	AverageQCVals	StdQCVals	MaxQCVals	MinQCVals	AverageLogPi	StdLogPi	MaxLogPi	MinLogPi	LossPi	LossQR1	LossQR2	LossQC	LossAlpha	LogAlpha	Alpha	LossBeta	LogBeta	Beta	PiEntropy	TestTime	EpochTime	TotalTime
21	2.8169448	1.7036612	7.733178	0.04669056	-0.9196228	0.7787117	0.12317916	-2.3071814	33.361702	102.606346	678.0	0.0	1.9	5.7	19.0	0.0	649.1702	1000.0	0.10638298	0.0	32532.0	0.049290909090909094	630001.0	61.61061	23.045017	109.119484	-108.13503	61.608723	23.048552	109.21694	-107.088554	0.79885817	3.6346874	71.02934	-14.134855	-0.9228781	0.99682647	9.606393	-10.393781	-41.155357	2.5408144	2.6061878	0.11692166	2.9228778	0.0	1.0	0.032512218	3.0208223	22.308979	0.9228779	8.073246	108.35714	2203.870223760605
22	2.5642796	1.2802906	5.3813105	0.021450853	-0.84090483	1.9256141	1.3680462	-6.1694603	46.727272	122.74981	629.0	0.0	91.2	186.55229	572.0	0.0	667.5909	1000.0	0.022727273	0.0	34605.0	0.050152173913043475	660001.0	67.803444	20.10728	108.09717	-140.3546	67.80343	20.105133	107.754814	-138.615	0.80598444	3.670473	69.00516	-12.836538	-0.95990956	0.9715996	10.729117	-10.061535	-49.20459	2.3421946	2.3838754	0.115323976	2.9599097	0.0	1.0	-0.11534173	2.8446496	19.752874	0.95990956	8.154619	106.921745	2310.799582004547
23	2.7893317	1.9706858	8.747811	0.11091667	-0.046729963	0.48183504	0.9848909	-0.7342561	33.43182	69.41161	266.0	0.0	1.1	3.3	11.0	0.0	684.4091	1000.0	0.06818182	0.0	36073.0	0.05010138888888889	690001.0	68.16642	20.228685	108.264984	-170.16711	68.16741	20.22606	108.31956	-171.69473	0.79557437	3.6078045	58.930016	-18.107187	-0.91751814	1.0023842	11.190128	-10.927933	-48.66545	2.55002	2.5638666	0.11454692	2.9175181	0.0	1.0	0.1253024	3.0305412	21.576664	0.91751844	8.147558	106.84521	2417.6382205486298
24	2.4327726	1.5368842	6.249964	0.068238914	0.10191654	0.6114171	1.6006737	-0.6690945	22.804348	70.711784	398.0	0.0	7.1	21.300001	71.0	0.0	668.6739	1000.0	0.04347826	0.0	37108.0	0.04947733333333333	720001.0	65.86954	21.790543	103.58496	-203.35144	65.869736	21.790241	105.07235	-209.32135	0.79958946	3.7418694	60.666042	-18.549412	-0.8599148	1.0716193	10.816228	-10.947785	-42.65386	2.9743383	2.9761553	0.119911775	2.8599148	0.0	1.0	0.026118478	3.19076	25.862894	0.8599149	8.176252	107.10973	2524.7484681606293
25	2.6618032	1.4277128	6.675035	0.09822617	0.21212372	0.86557025	1.8092599	-0.9485897	12.583333	23.894588	91.0	0.0	0.0	0.0	0.0	0.0	617.4792	1000.0	0.083333336	0.1	37712.0	0.04834871794871795	750001.0	69.73893	21.451149	111.91076	-176.15956	69.73909	21.447866	112.074486	-173.96423	0.80332786	3.8289309	63.69871	-19.85403	-0.92851037	0.98504525	11.43869	-8.91023	-48.217785	3.0717568	3.089422	0.119722165	2.92851	0.0	1.0	-0.053962823	3.1176674	23.169153	0.9285101	11.039055	111.42075	2636.170068502426
26	2.6400833	1.6337123	6.1901827	0.05496572	-0.060774006	0.44640854	0.6839356	-0.677755	55.130436	132.51558	619.0	0.0	93.3	274.93637	918.0	0.0	658.04346	1000.0	0.02173913	0.0	40248.0	0.04968888888888889	780001.0	63.604004	25.375906	110.19312	-217.74739	63.60252	25.380985	110.726555	-213.06877	0.78796715	3.734564	70.4682	-17.862232	-0.76628065	1.2046801	14.085028	-8.6978	-36.222782	3.624946	3.582547	0.11997249	2.7662807	0.0	1.0	0.19553137	3.1435833	31.44008	0.7662806	11.130506	107.48997	2743.6596982479095
27	2.7701998	2.1374226	7.4036636	0.018412972	-0.59633076	0.72226006	0.5855328	-1.7813464	26.733334	58.039604	282.0	0.0	9.6	14.423592	41.0	0.0	666.1111	1000.0	0.13333334	0.0	41451.0	0.04934642857142857	810001.0	50.172997	26.005598	103.96401	-260.61633	50.1729	26.004208	103.6794	-254.05309	0.8210378	3.692839	55.90566	-17.247982	-0.73382676	1.2073848	13.041199	-12.372602	-20.586502	3.7263176	3.7212696	0.12208775	2.7338266	0.0	1.0	-0.5458767	3.211652	33.11298	0.7338267	11.021049	106.512726	2850.1715371608734
28	2.8579657	1.6021396	6.187002	0.13771158	-1.748855	3.5062652	0.25619686	-12.203664	43.585365	134.05058	758.0	0.0	0.0	0.0	0.0	0.0	719.2683	1000.0	0.07317073	0.0	43238.0	0.04969885057471264	840001.0	58.90598	23.395834	109.90763	-216.12706	58.906055	23.397236	110.073715	-210.43936	0.79443073	3.6369467	85.25488	-16.47208	-0.8499759	1.0725421	12.522587	-10.097159	-35.407352	3.1264737	3.1241791	0.12163415	2.8499758	0.0	1.0	0.2621308	3.1931956	26.854263	0.8499759	11.605476	106.63937	2956.80739235878
29	2.942558	2.067358	8.596346	0.044087965	-0.1905091	0.7690895	1.3383538	-1.4255816	20.09804	49.195988	251.0	0.0	1.3	3.9	13.0	0.0	592.9216	1000.0	0.19607843	0.1	44263.0	0.04918111111111111	870001.0	63.487034	20.599926	108.30537	-146.1915	63.48711	20.600372	108.24724	-148.12878	0.7908662	3.7998812	64.78538	-17.478851	-0.84708834	1.0672252	16.426529	-11.004293	-38.549423	2.9901245	2.9932475	0.12925327	2.8470883	0.0	1.0	0.27209073	3.2890334	28.182632	0.84708834	11.548571	108.76491	3065.575203895569
30	2.3536038	1.9954255	8.140172	0.02014508	-0.90213794	1.8631208	1.8194629	-4.048054	19.793104	86.7642	618.0	0.0	1.2	3.6000001	12.0	0.0	521.4483	1000.0	0.18965517	0.3	45411.0	0.048829032258064516	900001.0	75.37515	17.204096	116.95548	-142.01675	75.37468	17.204365	116.68484	-138.53407	0.80021703	3.9109766	67.44378	-15.76983	-1.0082879	0.882868	14.106272	-9.838537	-57.460308	2.6629782	2.6895366	0.13539895	3.0082877	0.0	1.0	0.014236862	2.8585365	18.363436	1.0082878	7.958208	111.34009	3176.914758682251
